dt,open,high,low,close,volume
2026-09-17 09:15:00,257.65,290.05,221.8,253.75,53.0
2026-09-17 09:16:00,243.6,275.0,240.0,266.15,49.0
2026-09-17 09:17:00,265.5,280.9,264.7,279.4,23.0
2026-09-17 09:18:00,280.35,297.45,280.35,289.95,47.0
2026-09-17 09:19:00,292.7,292.7,285.95,285.95,14.0
2026-09-17 09:20:00,285.05,297.45,282.0,283.2,65.0
2026-09-17 09:21:00,285.5,289.05,276.25,276.25,17.0
2026-09-17 09:22:00,280.35,280.35,264.0,264.0,7.0
2026-09-17 09:23:00,259.9,264.3,259.9,260.55,10.0
2026-09-17 09:24:00,260.0,260.55,252.95,252.95,7.0
2026-09-17 09:25:00,253.3,255.0,248.6,248.8,13.0
2026-09-17 09:26:00,251.45,255.35,251.4,254.85,7.0
2026-09-17 09:27:00,255.9,264.4,255.9,264.4,4.0
2026-09-17 09:28:00,263.65,266.25,263.65,266.25,3.0
2026-09-17 09:29:00,267.5,267.5,257.05,259.15,31.0
2026-09-17 09:30:00,261.15,267.15,260.35,267.15,10.0
2026-09-17 09:31:00,267.4,271.0,267.4,269.45,7.0
2026-09-17 09:32:00,276.1,292.0,274.9,290.35,30.0
2026-09-17 09:33:00,289.15,298.0,284.95,284.95,108.0
2026-09-17 09:34:00,282.0,292.5,280.45,292.5,6.0
2026-09-17 09:35:00,293.45,312.7,293.45,309.85,54.0
2026-09-17 09:36:00,311.8,312.35,299.6,300.4,38.0
2026-09-17 09:37:00,300.35,310.0,298.75,305.55,54.0
2026-09-17 09:38:00,301.3,301.3,297.35,297.35,9.0
2026-09-17 09:39:00,290.0,290.3,281.0,283.15,35.0
2026-09-17 09:40:00,280.0,280.0,273.25,278.8,18.0
2026-09-17 09:41:00,273.55,274.5,273.55,274.5,3.0
2026-09-17 09:42:00,268.0,268.0,248.0,248.0,33.0
2026-09-17 09:43:00,245.0,253.1,245.0,253.1,15.0
2026-09-17 09:44:00,258.05,259.15,252.25,252.25,8.0
2026-09-17 09:45:00,265.0,266.75,255.15,255.15,75.0
2026-09-17 09:46:00,254.65,260.0,254.6,260.0,18.0
2026-09-17 09:47:00,266.15,266.95,262.75,262.75,5.0
2026-09-17 09:48:00,265.0,268.6,260.3,265.55,6.0
